,,,Freddie Mac,8200 Jones Branch Dr.,McLean,Virginia,22102,,
,,,Comcast,1 Comcast Center,Philadelphia,Pennsylvania,19103,,
,,,PepsiCo,700 Anderson Hill Rd.,Purchase,New York,10577,,
,,,United Technologies,1 Financial Plaza,Hartford,Connecticut,6101,,
,,,AIG,175 Water St.,New York,New York,10038,,
,,,UPS,55 Glenlake Pkwy. N.E.,Atlanta,Georgia,30328,,
,,,Dow Chemical,2030 Dow Center,Midland,Michigan,48674,,
,,,Aetna,151 Farmington Ave.,Hartford,Connecticut,6156,,
,,,Lowe's,1000 Lowe's Blvd.,Mooresville,North Carolina,28117,,
,,,ConocoPhillips,600 N. Dairy Ashford St.,Houston,Texas,77079,,
,,,Intel,2200 Mission College Blvd.,Santa Clara,California,95054,,
,,,Energy Transfer Equity,3738 Oak Lawn Ave.,Dallas,Texas,75219,,
,,,Caterpillar,100 N.E. Adams St.,Peoria,Illinois,61629,,
,,,Prudential Financial,751 Broad St.,Newark,New Jersey,7102,,
,,,Pfizer,235 E. 42nd St.,New York,New York,10017,,
,,,Disney,500 S. Buena Vista St.,Burbank,California,91521,,
,,,Humana,500 W. Main St.,Louisville,Kentucky,40202,,
,,,Enterprise Products Partners,1100 Louisiana St.,Houston,Texas,77002,,
,,,Cisco Systems,170 W. Tasman Dr.,San Jose,California,95134,,
,,,Sysco,1390 Enclave Pkwy.,Houston,Texas,77077,,
,,,Ingram Micro,1600 E. St. Andrew Place,Santa Ana,California,92705,,
,,,Coca-Cola,1 Coca-Cola Plaza,Atlanta,Georgia,30313,,
,,,Lockheed Martin,6801 Rockledge Dr.,Bethesda,Maryland,20817,,
,,,FedEx,942 S. Shady Grove Rd.,Memphis,Tennessee,38120,,
,,,Johnson Controls,5757 N. Green Bay Ave.,Milwaukee,Wisconsin,53209,,
,,,Plains GP Holdings,333 Clay St.,Houston,Texas,77002,,
,,,World Fuel Services,9800 N.W. 41st St.,Miami,Florida,33178,,
,,,CHS,5500 Cenex Dr.,Inver Grove Height,Minnesota,55077,,
,,,American Airlines Group,4333 Amon Carter Blvd.,Fort Worth,Texas,76155,,
,,,Merck,1 Merck Dr.,Whitehouse Station,New Jersey,8889,,
,,,Best Buy,7601 Penn Ave. S.,Richfield,Minnesota,55423,,
,,,Delta Air Lines,1030 Delta Blvd.,Atlanta,Georgia,30354,,
,,,Honeywell International,101 Columbia Rd.,Morris Township,New Jersey,7962,,
,,,HCA Holdings,1 Park Plaza,Nashville,Tennessee,37203,,
,,,Goldman Sachs Group,200 West St.,New York,New York,10282,,
,,,Tesoro,19100 Ridgewood Pkwy.,San Antonio,Texas,78259,,
,,,Liberty Mutual Insurance Group,175 Berkeley St.,Boston,Massachusetts,2116,,
,,,United Continental Holdings,233 S. Wacker Dr.,Chicago,Illinois,60606,,
